+3.1768%; 
+2.5806%; +3.3475%; +4.1145%; 
+1.9788%; +2.7457%; +3.5126%; +4.2795%; +5.0465%; 
+1.3715%; +2.1384%; +2.9053%; +3.6723%; +4.4392%; +5.2061%; +5.9730%; 
+0.75895%; +1.5259%; +2.2928%; +3.0597%; +3.8266%; +4.5935%; +5.3604%; +6.1273%; +6.8943%; 
+0.14128%; +0.90819%; +1.6751%; +2.4420%; +3.2089%; +3.9759%; +4.7428%; +5.5097%; +6.2766%; +7.0435%; +7.8104%; 
-0.48132%; +0.28560%; +1.0525%; +1.8194%; +2.5863%; +3.3533%; +4.1202%; +4.8871%; +5.6540%; +6.4209%; +7.1878%; +7.9547%; +8.7217%; 
-12.978%; -12.211%; -11.444%; -10.677%; -9.9101%; -9.1432%; -8.3763%; -7.6094%; -6.8424%; -6.0755%; -5.3086%; -4.5417%; -3.7748%; -3.0079%; -2.2410%; -1.4740%; -0.70712%; +0.059794%; +0.82671%; +1.5936%; +2.3605%; +3.1275%; +3.8944%; +4.6613%; +5.4282%; +6.1951%; +6.9620%; +7.7289%; +8.4959%; +9.2628%; +10.030%; +10.797%; +11.564%; +12.330%; +13.097%; +13.864%; +14.631%; +15.398%; +16.165%; +16.932%; +17.699%; +18.466%; +19.233%; +20.000%; +20.766%; +21.533%; +22.300%; +23.067%; +23.834%; +24.601%; +25.368%; +26.135%; +26.902%; 
-12.931%; -12.164%; -11.397%; -10.630%; -9.8633%; -9.0963%; -8.3294%; -7.5625%; -6.7956%; -6.0287%; -5.2618%; -4.4948%; -3.7279%; -2.9610%; -2.1941%; -1.4272%; -0.66027%; +0.10664%; +0.87356%; +1.6405%; +2.4074%; +3.1743%; +3.9412%; +4.7081%; +5.4750%; +6.2420%; +7.0089%; +7.7758%; +8.5427%; +9.3096%; +10.077%; +10.843%; +11.610%; +12.377%; +13.144%; +13.911%; +14.678%; +15.445%; +16.212%; +16.979%; +17.746%; +18.513%; +19.280%; +20.046%; +20.813%; +21.580%; +22.347%; +23.114%; +23.881%; +24.648%; +25.415%; +26.182%; +26.949%; 
-12.886%; -12.119%; -11.352%; -10.585%; -9.8179%; -9.0510%; -8.2841%; -7.5172%; -6.7502%; -5.9833%; -5.2164%; -4.4495%; -3.6826%; -2.9157%; -2.1488%; -1.3818%; -0.61493%; +0.15199%; +0.91890%; +1.6858%; +2.4527%; +3.2196%; +3.9866%; +4.7535%; +5.5204%; +6.2873%; +7.0542%; +7.8211%; +8.5881%; +9.3550%; +10.122%; +10.889%; +11.656%; +12.423%; +13.190%; +13.956%; +14.723%; +15.490%; +16.257%; +17.024%; +17.791%; +18.558%; +19.325%; +20.092%; +20.859%; +21.626%; +22.393%; +23.159%; +23.926%; +24.693%; +25.460%; +26.227%; +26.994%; 
-12.842%; -12.075%; -11.308%; -10.541%; -9.7740%; -9.0071%; -8.2402%; -7.4733%; -6.7064%; -5.9394%; -5.1725%; -4.4056%; -3.6387%; -2.8718%; -2.1049%; -1.3379%; -0.57103%; +0.19588%; +0.96280%; +1.7297%; +2.4966%; +3.2635%; +4.0305%; +4.7974%; +5.5643%; +6.3312%; +7.0981%; +7.8650%; +8.6319%; +9.3989%; +10.166%; +10.933%; +11.700%; +12.467%; +13.233%; +14.000%; +14.767%; +15.534%; +16.301%; +17.068%; +17.835%; +18.602%; +19.369%; +20.136%; +20.903%; +21.669%; +22.436%; +23.203%; +23.970%; +24.737%; +25.504%; +26.271%; +27.038%; 
-12.799%; -12.032%; -11.265%; -10.498%; -9.7315%; -8.9646%; -8.1977%; -7.4308%; -6.6639%; -5.8969%; -5.1300%; -4.3631%; -3.5962%; -2.8293%; -2.0624%; -1.2955%; -0.52854%; +0.23838%; +1.0053%; +1.7722%; +2.5391%; +3.3060%; +4.0730%; +4.8399%; +5.6068%; +6.3737%; +7.1406%; +7.9075%; +8.6744%; +9.4414%; +10.208%; +10.975%; +11.742%; +12.509%; +13.276%; +14.043%; +14.810%; +15.577%; +16.344%; +17.111%; +17.877%; +18.644%; +19.411%; +20.178%; +20.945%; +21.712%; +22.479%; +23.246%; +24.013%; +24.780%; +25.547%; +26.313%; +27.080%; 
-12.758%; -11.991%; -11.224%; -10.457%; -9.6904%; -8.9235%; -8.1565%; -7.3896%; -6.6227%; -5.8558%; -5.0889%; -4.3220%; -3.5551%; -2.7881%; -2.0212%; -1.2543%; -0.48740%; +0.27952%; +1.0464%; +1.8133%; +2.5803%; +3.3472%; +4.1141%; +4.8810%; +5.6479%; +6.4148%; +7.1818%; +7.9487%; +8.7156%; +9.4825%; +10.249%; +11.016%; +11.783%; +12.550%; +13.317%; +14.084%; +14.851%; +15.618%; +16.385%; +17.152%; +17.919%; +18.685%; +19.452%; +20.219%; +20.986%; +21.753%; +22.520%; +23.287%; +24.054%; +24.821%; +25.588%; +26.355%; +27.122%; 
-12.718%; -11.951%; -11.184%; -10.417%; -9.6505%; -8.8836%; -8.1167%; -7.3498%; -6.5829%; -5.8160%; -5.0491%; -4.2821%; -3.5152%; -2.7483%; -1.9814%; -1.2145%; -0.44757%; +0.31935%; +1.0863%; +1.8532%; +2.6201%; +3.3870%; +4.1539%; +4.9208%; +5.6878%; +6.4547%; +7.2216%; +7.9885%; +8.7554%; +9.5223%; +10.289%; +11.056%; +11.823%; +12.590%; +13.357%; +14.124%; +14.891%; +15.658%; +16.425%; +17.191%; +17.958%; +18.725%; +19.492%; +20.259%; +21.026%; +21.793%; +22.560%; +23.327%; +24.094%; +24.861%; +25.628%; +26.394%; +27.161%; 
-12.680%; -11.913%; -11.146%; -10.379%; -9.6120%; -8.8451%; -8.0782%; -7.3112%; -6.5443%; -5.7774%; -5.0105%; -4.2436%; -3.4767%; -2.7098%; -1.9428%; -1.1759%; -0.40901%; +0.35791%; +1.1248%; +1.8917%; +2.6587%; +3.4256%; +4.1925%; +4.9594%; +5.7263%; +6.4932%; +7.2601%; +8.0271%; +8.7940%; +9.5609%; +10.328%; +11.095%; +11.862%; +12.629%; +13.395%; +14.162%; +14.929%; +15.696%; +16.463%; +17.230%; +17.997%; +18.764%; +19.531%; +20.298%; +21.065%; +21.832%; +22.598%; +23.365%; +24.132%; +24.899%; +25.666%; +26.433%; +27.200%; 
-12.642%; -11.875%; -11.108%; -10.342%; -9.5747%; -8.8077%; -8.0408%; -7.2739%; -6.5070%; -5.7401%; -4.9732%; -4.2062%; -3.4393%; -2.6724%; -1.9055%; -1.1386%; -0.37167%; +0.39524%; +1.1622%; +1.9291%; +2.6960%; +3.4629%; +4.2298%; +4.9967%; +5.7636%; +6.5306%; +7.2975%; +8.0644%; +8.8313%; +9.5982%; +10.365%; +11.132%; +11.899%; +12.666%; +13.433%; +14.200%; +14.967%; +15.734%; +16.500%; +17.267%; +18.034%; +18.801%; +19.568%; +20.335%; +21.102%; +21.869%; +22.636%; +23.403%; +24.170%; +24.937%; +25.703%; +26.470%; +27.237%; 
-12.606%; -11.839%; -11.072%; -10.305%; -9.5385%; -8.7716%; -8.0047%; -7.2378%; -6.4708%; -5.7039%; -4.9370%; -4.1701%; -3.4032%; -2.6363%; -1.8694%; -1.1024%; -0.33552%; +0.43139%; +1.1983%; +1.9652%; +2.7321%; +3.4991%; +4.2660%; +5.0329%; +5.7998%; +6.5667%; +7.3336%; +8.1005%; +8.8675%; +9.6344%; +10.401%; +11.168%; +11.935%; +12.702%; +13.469%; +14.236%; +15.003%; +15.770%; +16.537%; +17.304%; +18.070%; +18.837%; +19.604%; +20.371%; +21.138%; +21.905%; +22.672%; +23.439%; +24.206%; +24.973%; +25.740%; +26.506%; +27.273%; 
